Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
Sugar-coated chocolate discs,71.19,14.0,2.8,4.33,5.183,0.921,13.08,21.13,1.11,44.0,146.0,261.0,61.0,1.61,56.0,0.53,0.025,0.5,0.36,4.0,3
Sugared pecans,31.77,0.0,6.5,7.29,27.639,14.642,4.186,48.84,1.73,83.0,189.0,294.0,17.0,3.07,2.0,0.01,0.136,0.6,0.95,2.4,3
Summer squash,3.776875,1.25,1.20625,1.06625,0.633625,0.5904375,0.5428125,1.916875,0.52125,18.6875,32.875,212.375,156.4375,0.306875,15.4375,0.0,0.1071874999999999,11.00625,0.33,5.50625,10
Sun-dried tomatoes,55.76,0.0,12.3,14.11,0.487,1.115,0.426,2.97,9.09,194.0,356.0,3427.0,107.0,1.99,44.0,0.0,0.332,39.2,0.01,43.0,5
Sunflower oil,0.0,0.0,0.0,0.0,19.5,65.7,10.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08,5.4,8
Sunflower seeds,24.46,0.0,10.95,19.0525,9.36925,32.41425,5.1445,49.0925,3.7475,127.0,1138.5,838.0,270.0,5.215,0.0,0.0,0.7925,1.375,25.7275,2.6750000000000003,3
Sushi,14.457142857142856,51.85714285714285,0.6571428571428571,7.3,0.9132857142857144,0.3512857142857142,0.5008571428571429,1.9828571428571429,0.3571428571428571,13.428571428571429,95.0,89.42857142857143,374.2857142857143,0.5885714285714286,75.57142857142857,0.67,0.1364285714285714,0.2571428571428572,0.5385714285714286,0.2428571428571428,13
Sushi roll,16.683333333333334,17.666666666666668,0.9833333333333332,4.588333333333334,0.8374999999999999,0.236,0.285,1.525,0.2183333333333333,10.333333333333334,50.66666666666666,70.16666666666667,380.3333333333333,0.5066666666666667,54.833333333333336,0.4033333333333333,0.0768333333333333,1.0333333333333334,0.4483333333333333,1.3833333333333335,4
Sushi roll tuna,15.3,10.0,0.7,7.4,0.076,0.084,0.069,0.26,0.31,12.0,74.0,119.0,342.0,0.38,8.0,0.51,0.247,0.5,0.1,0.1,13
Swedish meatballs with cream or white sauce,6.32,62.0,0.2,12.47,3.962,0.503,4.526,10.26,1.42,15.0,134.0,204.0,538.0,2.66,37.0,1.17,0.19,0.2,0.19,1.4,13
Sweet and sour chicken or turkey,23.86,27.0,1.0,10.1,2.717,6.419,1.933,12.65,2.12,15.0,135.0,158.0,246.0,0.42,18.0,0.09,0.257,2.4,0.82,22.5,7
Sweet and sour pork,17.82,43.0,0.9,11.54,3.384,2.934,1.571,8.45,0.94,21.0,128.0,261.0,399.0,0.9,10.0,0.25,0.267,11.1,0.92,8.7,1
Sweet and sour pork with rice,19.75,36.0,0.9,10.12,2.848,2.47,1.328,7.12,0.99,20.0,115.0,225.0,335.0,0.84,8.0,0.21,0.24,11.0,0.77,7.3,1
Sweet and sour sauce,38.22,0.0,0.1,0.27,0.0,0.0,0.0,0.02,0.21,8.0,7.0,99.0,539.0,0.09,1.0,0.0,0.053,8.7,0.01,0.2,4
Sweet and sour shrimp,15.53,65.0,0.8,7.14,3.391,3.395,1.329,8.6,0.68,18.0,125.0,146.0,353.0,0.6,28.0,0.36,0.129,11.2,1.52,10.3,13
Sweet and sour soup,4.65,31.0,0.5,5.66,1.089,0.804,0.73,2.98,0.59,12.0,56.0,123.0,469.0,0.73,11.0,0.11,0.09,0.8,0.15,7.0,4
Sweet bread dough,46.68,11.5,2.3,8.75,2.0745,0.9215,1.638,5.085,2.405,20.0,135.0,157.5,311.0,0.735,0.0,0.085,0.0975,0.3,0.1399999999999999,2.55,13
Sweet potato,19.382692307692302,2.6153846153846154,2.6500000000000004,1.695,1.0981923076923077,0.9587692307692308,0.9785,3.205384615384616,0.7526923076923077,22.807692307692307,43.69230769230769,340.03846153846155,191.80769230769232,0.2465384615384615,757.9230769230769,0.0026923076923076,0.2411923076923076,16.107692307692307,1.1526923076923077,8.773076923076923,2
Sweet potato and pumpkin casserole,39.82,33.0,2.2,2.99,1.761,1.027,3.795,7.04,1.2,26.0,79.0,377.0,204.0,0.54,566.0,0.07,0.156,4.6,1.12,4.7,2
Sweet potato chips,56.54,0.0,8.8,2.92,9.109,12.163,2.926,32.19,2.11,65.0,144.0,920.0,227.0,0.53,1178.0,0.0,0.532,0.0,9.77,24.4,2
Sweet potato fries,30.67375,0.0,4.9375,2.02875,5.994875,5.369375,2.38125,14.916250000000002,0.7275,24.875,55.0,405.125,166.625,0.34875,531.0,0.0,0.192875,9.5625,2.20375,14.475,2
Sweet potato paste,75.04,0.0,0.8,0.41,0.0,0.018,0.009,0.27,0.25,6.0,10.0,70.0,9.0,0.07,236.0,0.0,0.05,3.8,0.28,0.6,2
