Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
Liverwurst,3.1,180.0,0.0,14.5,12.731,3.193,9.307,28.5,11.2,11.0,168.0,199.0,977.0,2.81,4220.0,20.09,0.33,0.0,0.35,1.6,2
Lo mein,17.511666666666667,16.166666666666668,1.1,7.743333333333333,0.8201666666666667,1.2045,0.643,2.77,1.0916666666666666,15.666666666666666,74.5,132.83333333333334,391.8333333333333,0.6566666666666666,11.5,0.16,0.1195,1.5,0.3666666666666667,11.083333333333334,13
Lobster,4.42125,141.375,0.2249999999999999,18.72375,1.2925,1.370125,0.6295000000000001,3.48625,0.57375,42.375,180.125,223.125,703.75,3.88875,4.625,1.2475,0.11375,0.125,1.22,2.975,13
Lobster bisque,1.7,32.0,0.2,5.23,0.627,0.309,1.379,2.57,0.25,11.0,68.0,146.0,242.0,0.86,44.0,0.37,0.048,1.3,0.39,1.5,1
Lobster gumbo,4.61,37.0,0.9,6.19,0.427,0.278,0.869,1.76,0.67,22.0,75.0,228.0,289.0,1.15,18.0,0.38,0.073,3.7,0.77,8.7,1
Lobster newburg,4.14,171.0,0.1,11.62,5.162,1.096,10.98,20.08,0.39,26.0,166.0,202.0,476.0,2.19,147.0,0.8,0.092,0.3,0.83,1.7,7
Lobster salad,1.15,85.0,0.4,10.33,3.493,9.094,2.451,15.4,0.24,25.0,107.0,187.0,504.0,2.19,8.0,0.77,0.083,2.8,1.25,38.8,13
Lobster with bread stuffing,9.83,118.0,0.5,14.98,2.095,0.855,4.657,8.16,0.86,35.0,152.0,187.0,656.0,2.96,59.0,1.0,0.097,0.2,0.93,0.6,13
Lobster with butter sauce,0.01,154.0,0.0,17.0,2.535,0.637,5.83,9.68,0.26,38.0,167.0,207.0,503.0,3.62,76.0,1.29,0.106,0.0,1.14,0.8,7
Lobster with sauce,3.96,77.0,1.0,10.76,7.419,1.282,1.511,10.56,0.66,32.0,106.0,283.0,720.0,2.27,12.0,0.68,0.13,8.1,2.5,8.3,13
Lomi salmon,3.31,19.0,1.0,7.55,0.439,0.544,0.321,1.86,0.51,18.0,135.0,270.0,145.0,0.4,30.0,1.54,0.158,8.9,0.53,23.1,10
Long Island iced tea,8.66,0.0,0.0,0.01,0.0,0.003,0.001,0.15,0.04,0.0,7.0,7.0,16.0,0.07,0.0,0.0,0.0,0.4,0.0,0.0,13
Long rice noodles,20.66,0.0,0.1,0.04,0.002,0.004,0.004,0.01,0.44,1.0,7.0,2.0,5.0,0.09,0.0,0.0,0.008,0.0,0.03,0.0,6
Lotus root,15.51,2.0,3.0,1.54,0.946,0.789,0.741,2.6,0.87,21.0,76.0,352.0,166.0,0.32,11.0,0.0,0.227,26.5,0.3,2.4,10
Luffa,7.76,2.0,3.3,2.02,1.02,0.862,0.802,2.92,0.65,59.0,64.0,312.0,139.0,0.6,47.0,0.0,0.219,20.4,0.6,35.1,10
Luncheon meat,4.365,49.5,0.75,13.965,4.265,1.674,3.2035,9.84,0.955,26.5,207.0,398.0,1040.0,1.6,39.0,0.45,0.406,3.9,0.345,2.55,13
Luncheon meat sandwich,22.91,12.0,1.3,9.12,0.763,0.831,0.626,2.53,1.78,20.0,116.0,367.0,396.0,0.88,2.0,0.12,0.174,0.9,0.29,4.7,1
Luncheon slice,4.44,0.0,1.1,17.78,2.055,4.383,1.338,11.11,1.8,23.0,442.0,200.0,711.0,1.6,0.0,4.0,0.889,0.0,3.0,0.0,7
Lychee,16.53,0.0,1.3,0.83,0.12,0.132,0.099,0.44,0.31,10.0,31.0,171.0,1.0,0.07,0.0,0.0,0.1,71.5,0.07,0.4,0
M&M's Almond Chocolate Candies,60.5,8.0,5.6,7.53,11.29,3.753,9.435,27.76,1.73,116.0,203.0,381.0,45.0,1.86,24.0,0.22,0.055,0.6,9.52,2.0,3
M&M's Milk Chocolate Candies,71.19,14.0,2.8,4.33,5.183,0.921,13.08,21.13,1.11,44.0,146.0,261.0,61.0,1.61,56.0,0.53,0.025,0.5,0.36,4.0,3
M&M's Peanut Butter Chocolate Candies,56.89,7.0,4.0,10.16,4.448,0.542,18.485,29.32,1.06,81.0,191.0,330.0,213.0,1.49,28.0,0.19,0.095,0.5,1.26,5.9,10
M&M's Peanut Chocolate Candies,60.48,8.0,3.7,9.57,8.086,3.456,10.169,26.13,1.16,69.0,190.0,347.0,50.0,1.76,22.0,0.32,0.09,0.0,2.85,3.0,3
M&M's Pretzel Chocolate Candies,72.94,13.0,2.5,5.0,3.302,1.014,8.986,15.0,0.9,39.0,135.0,253.0,475.0,1.25,34.0,0.45,0.032,0.0,0.37,4.7,1
MARS Almond Bar,62.7,17.0,2.0,8.1,10.693,3.98,7.268,23.0,1.1,72.0,234.0,325.0,170.0,1.11,15.0,0.36,0.06,0.7,7.75,10.9,3
MILKY WAY Bar,71.17,9.0,1.0,4.01,2.23,0.26,12.016,17.23,0.49,20.0,67.0,124.0,167.0,0.69,31.0,0.18,0.014,0.7,0.89,3.6,1
MILKY WAY MIDNIGHT Bar,71.22,10.0,2.9,3.2,4.639,0.514,11.474,17.5,1.2,58.0,75.0,196.0,168.0,0.89,42.0,0.04,0.02,0.2,0.39,3.5,10
Macadamia nuts,12.83,0.0,8.0,7.79,59.275,1.498,11.947,76.08,2.65,118.0,198.0,363.0,353.0,1.29,0.0,0.0,0.359,0.7,0.57,0.0,10
Macaroni,9.426666666666668,5.666666666666667,1.1666666666666667,2.43,0.5203333333333333,0.136,0.4483333333333333,1.2833333333333334,0.41,9.666666666666666,41.66666666666666,92.0,36.333333333333336,0.45,39.66666666666666,0.1966666666666666,0.0516666666666666,0.9,1.7166666666666668,18.0,14
Macaroni and cheese,12.293333333333331,8.0,0.6,4.13,0.7050000000000001,0.1873333333333333,1.6336666666666666,2.9066666666666663,0.5033333333333333,10.333333333333334,85.0,48.0,217.33333333333331,0.5066666666666667,25.0,0.1033333333333333,0.0356666666666666,0.2333333333333333,0.0533333333333333,0.2333333333333333,13
Macaroni or noodles,19.61,17.5,1.15,6.355,1.19,0.415,2.8795,5.04,0.995,15.0,65.5,57.5,257.5,0.475,47.5,0.315,0.0695,0.05,0.185,0.4,13
Macaroni or noodles with cheese,19.37857142857143,13.285714285714286,1.0142857142857142,5.531428571428571,1.707857142857143,1.0078571428571428,2.822142857142857,6.331428571428572,0.8057142857142858,18.142857142857142,117.85714285714286,90.57142857142856,284.1428571428572,0.7028571428571428,57.85714285714285,0.2271428571428571,0.0842857142857143,0.0285714285714285,0.4871428571428571,1.9428571428571428,13
Macaroni or noodles with cheese and chicken or turkey,14.82,49.0,0.7,12.53,2.373,1.189,2.892,7.56,0.68,18.0,149.0,131.0,233.0,0.85,52.0,0.32,0.177,0.1,0.66,2.5,7
Macaroni or noodles with cheese and egg,18.96,71.0,0.8,5.94,2.851,1.853,3.618,9.39,0.82,14.0,115.0,63.0,183.0,0.57,87.0,0.35,0.139,0.1,0.95,4.6,7
Macaroni or noodles with cheese and frankfurters or hot dogs,18.74,24.0,0.8,6.29,4.319,1.255,5.289,12.49,0.77,14.0,106.0,109.0,313.0,0.79,60.0,0.4,0.131,0.1,0.74,3.5,13
Macaroni or noodles with cheese and meat,12.715,33.0,0.5,10.015,3.544,0.6499999999999999,3.762,9.325,1.12,14.5,109.0,132.0,266.0,2.01,38.0,0.815,0.138,0.15,0.345,2.0,7
Macaroni or noodles with cheese and tomato,18.73,11.0,1.1,3.94,1.722,1.056,2.827,6.48,0.57,14.0,84.0,90.0,136.0,0.38,67.0,0.23,0.125,2.9,0.74,4.7,7
Macaroni or noodles with cheese and tuna,18.23,19.0,0.8,7.59,1.768,1.108,2.915,6.73,0.86,17.0,108.0,75.0,181.0,0.48,63.0,0.75,0.175,0.1,0.7,3.1,7
Macaroni or pasta salad,23.424444444444443,1.8888888888888888,1.522222222222222,4.084444444444444,1.108888888888889,2.265,0.7272222222222222,4.467777777777778,1.0811111111111111,14.0,46.888888888888886,73.55555555555556,221.44444444444449,0.3844444444444444,30.55555555555556,0.0066666666666666,0.0507777777777777,3.5444444444444443,0.4744444444444445,13.255555555555556,13
Macaroni or pasta salad with cheese,21.77,18.0,1.3,6.9,3.171,5.987,4.069,14.43,0.91,16.0,101.0,53.0,262.0,0.83,45.0,0.15,0.046,1.6,0.58,24.4,13
Macaroni or pasta salad with chicken,20.93,22.0,1.2,7.82,2.563,5.833,1.787,10.75,0.97,16.0,76.0,84.0,225.0,0.59,6.0,0.07,0.074,1.5,0.53,23.5,13
Macaroni or pasta salad with crab meat,20.93,20.0,1.2,6.48,2.175,5.73,1.58,9.9,0.94,18.0,76.0,81.0,232.0,0.92,5.0,0.52,0.06,2.0,0.75,23.6,13
Macaroni or pasta salad with egg,22.53,39.0,1.3,5.19,2.676,6.226,1.954,11.44,1.03,14.0,59.0,56.0,196.0,0.47,18.0,0.12,0.05,1.6,0.6,25.2,13
Macaroni or pasta salad with meat,20.82,14.0,1.2,7.66,2.537,5.758,1.827,10.59,1.0,15.0,75.0,90.0,378.0,0.74,5.0,0.12,0.109,1.5,0.51,23.4,13
Macaroni or pasta salad with shrimp,21.1,41.0,1.2,6.76,2.188,5.835,1.589,10.06,1.18,17.0,69.0,53.0,299.0,0.63,5.0,0.12,0.038,2.1,0.63,23.7,4
Macaroni or pasta salad with tuna,20.87,11.0,1.2,6.69,2.166,5.712,1.579,9.9,1.12,16.0,61.0,68.0,206.0,0.45,7.0,0.41,0.085,1.5,0.52,23.5,13
Macaroni or pasta salad with tuna and egg,19.35,39.0,1.1,7.14,2.313,5.382,1.709,9.96,1.12,15.0,70.0,73.0,199.0,0.49,18.0,0.46,0.088,1.4,0.56,21.7,13
Macaroni with beef and tomato sauce,11.53,7.0,1.1,4.34,0.782,0.14,0.705,1.9,0.8,15.0,49.0,148.0,35.0,0.48,3.0,0.23,0.09,1.9,0.09,0.4,5
Macaroni with tuna,18.12,10.0,0.9,7.7,1.839,1.234,1.171,4.67,1.09,18.0,93.0,124.0,359.0,0.53,58.0,0.6,0.098,0.2,0.48,4.0,13
Macaroni with vegetables,8.4,5.0,1.5,1.7,0.58,0.144,1.23,2.1,0.5,24.0,50.0,133.0,11.0,0.4,41.0,0.0,0.11,2.9,0.23,2.1,5
Mackerel,3.977,68.1,0.24,21.005000000000003,5.9219,3.8463,3.367,14.758,1.81,58.9,209.9,365.2,386.6,0.787,46.5,6.1770000000000005,0.3460999999999999,1.25,1.7280000000000002,6.23,10
Mackerel cake or patty,10.76,81.0,1.2,16.54,6.537,4.427,5.403,17.63,1.72,32.0,236.0,287.0,410.0,0.91,108.0,3.35,0.19,0.5,1.5,6.9,7
Mai Tai,17.17,0.0,0.1,0.18,0.008,0.035,0.005,0.08,0.18,6.0,6.0,69.0,5.0,0.08,0.0,0.0,0.051,5.1,0.01,0.2,5
Mango,31.19,0.0,1.7,1.1775,0.206,0.10425,0.135,0.5599999999999999,0.1675,12.0,22.0,182.25,41.25,0.1375,52.25,0.0,0.16425,34.224999999999994,1.625,6.2,5
Mango dessert,19.0,0.0,1.1,0.3,0.06,0.03,0.039,0.2,0.2,6.0,4.0,59.0,4.0,0.03,17.0,0.0,0.072,11.1,0.66,2.5,5
Mango nectar,13.12,0.0,0.3,0.11,0.022,0.011,0.014,0.06,0.36,3.0,2.0,24.0,5.0,0.02,35.0,0.0,0.015,15.2,0.21,0.8,2
Manhattan,1.82,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.07,1.0,5.0,14.0,2.0,0.04,0.0,0.0,0.001,0.0,0.0,0.0,5
Manicotti,16.745,57.5,0.8500000000000001,8.2425,1.795,0.5335,3.73,6.95,1.2975,18.75,145.75,191.5,427.25,0.925,88.25,0.4475,0.09125,1.9,0.6,13.45,7
Margarine,0.7933333333333333,0.6666666666666666,0.0,0.1666666666666666,27.485000000000003,25.570666666666668,13.379,68.52,0.0266666666666666,2.333333333333333,11.333333333333334,25.0,706.3333333333334,0.0,819.0,0.04,2.191333333333333,0.1333333333333333,16.07,97.83333333333331,9
Margarine-oil blend,0.972,0.4,0.0,0.232,20.3786,21.4176,11.3318,55.23,0.024,1.8,9.8,33.6,654.2,0.008,1023.4,0.044,1.5018,0.08,15.628,88.96,9
Margarita,16.06,0.0,0.0,0.08,0.002,0.015,0.006,0.08,0.09,1.0,5.0,22.0,204.0,0.06,0.0,0.0,0.0,2.0,0.0,0.0,4
Margarita mix,21.4,0.0,0.0,0.1,0.002,0.02,0.008,0.1,0.11,1.0,6.0,28.0,102.0,0.07,0.0,0.0,0.0,2.7,0.0,0.0,4
Marie biscuit,70.54,0.0,3.5,7.05,2.694,1.67,5.291,10.58,0.0,28.0,193.0,307.0,370.0,0.61,1.0,0.19,0.074,0.0,0.45,3.8,1
Marmalade,66.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.15,2.0,4.0,37.0,56.0,0.04,3.0,0.0,0.019,4.8,0.06,0.0,6
Marshmallow,81.39333333333333,0.0,0.6333333333333334,1.7966666666666666,1.1843333333333337,0.1356666666666666,2.0516666666666663,3.613333333333333,0.4633333333333333,12.666666666666666,21.0,33.0,64.33333333333333,0.1833333333333333,0.0,0.0,0.0066666666666666,0.0,0.0266666666666666,0.6333333333333333,6
Martini,3.405,0.0,0.05,0.08,0.0015,0.0065,0.0015,0.02,0.07,1.5,5.5,20.0,1.5,0.045,0.0,0.0,0.0065,4.0,0.03,0.1,5
Masa harina,20.5,0.0,1.7,2.26,0.267,0.461,0.142,0.99,1.33,27.0,62.0,70.0,283.0,0.5,0.0,0.0,0.114,0.0,0.03,0.0,13
Matzo ball soup,7.74,36.0,0.5,2.61,0.729,0.591,0.44,2.05,0.54,5.0,32.0,64.0,345.0,0.26,47.0,0.09,0.037,1.8,0.27,16.7,4
Mayonnaise,6.4,22.75,0.5,0.475,12.84875,15.42225,5.12975,34.2675,0.1125,1.75,19.5,33.0,753.0,0.09,8.5,0.06,0.0035,0.0,2.4625,67.6,4
Mayonnaise-type salad dressing,15.59,9.5,0.0,0.65,3.694,8.9125,2.44,15.8,0.12,2.0,13.0,36.0,743.0,0.07,3.5,0.04,0.009,0.0,1.135,30.85,4
McDouble (McDonalds),17.97,50.0,0.9,16.24,6.001,1.314,6.96,16.18,2.35,21.0,165.0,226.0,617.0,2.77,44.0,1.28,0.214,2.9,0.35,4.7,13
Meat,0.63,72.5,0.0,21.255,3.0655,0.728,2.4125,6.755000000000001,2.075,16.5,165.0,250.0,215.5,4.285,2.0,1.835,0.3395,0.95,0.265,1.15,10
Meat and corn hominy soup,5.11,20.0,0.4,7.49,1.804,0.819,1.297,4.12,0.49,11.0,78.0,162.0,241.0,0.93,2.0,0.15,0.12,0.2,0.1,0.4,1
Meat broth,0.04,0.0,0.0,1.14,0.09,0.01,0.11,0.22,0.17,2.0,13.0,54.0,372.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0,4
Meat loaf,8.89,111.5,0.5,18.645,6.979,2.1285,5.258,16.46,2.11,18.5,162.5,249.5,524.0,3.555,29.5,1.36,0.2405,0.8,0.6849999999999999,5.15,13
Meat loaf dinner,10.1,19.0,1.2,6.65,3.072,1.466,2.208,7.4,1.08,16.0,76.0,214.0,393.0,1.4,32.0,0.57,0.126,3.5,0.68,9.6,1
Meat loaf made with beef,7.04,68.66666666666667,0.5,16.186666666666667,4.177666666666666,0.6116666666666667,3.628666666666666,9.82,1.913333333333333,18.666666666666668,159.0,274.0,422.6666666666667,3.44,16.0,1.4400000000000002,0.257,1.1,0.2666666666666666,1.1666666666666667,1
Meat loaf made with beef and pork,6.96,66.5,0.55,15.46,3.9275,0.6595,3.436,9.29,1.765,18.5,153.5,272.0,422.5,3.13,21.0,1.215,0.2425,1.4,0.3299999999999999,1.1,1
Meat loaf made with chicken or turkey,7.675000000000001,73.0,0.7,17.125,2.1805000000000003,1.892,1.7955,6.7,1.47,24.5,181.5,257.5,451.0,1.945,34.0,0.7849999999999999,0.376,3.9,0.35,0.8,7
Meat loaf made with ham,6.13,90.0,0.3,20.67,2.846,1.765,2.25,7.47,1.27,22.0,252.0,323.0,880.0,2.13,24.0,0.5,0.346,3.0,0.57,5.8,13
Meat loaf made with venison/deer,6.3,84.0,0.4,19.03,1.377,0.603,3.022,6.68,2.7,22.0,194.0,310.0,381.0,3.48,17.0,1.17,0.213,0.5,0.44,1.1,1
Meat loaf with potatoes,10.1,19.0,1.2,6.65,3.072,1.466,2.208,7.4,1.08,16.0,76.0,214.0,393.0,1.4,32.0,0.57,0.126,3.5,0.68,9.6,1
Meat pie,22.375,40.5,1.1,10.46,9.306,3.1035,8.461500000000001,22.525,1.855,16.0,133.5,186.5,776.0,1.69,20.0,0.55,0.12,2.3,0.445,6.35,4
Meat sandwich,33.02,31.0,1.4,9.28,4.593,4.944,3.476,13.7,2.52,22.0,140.0,177.0,773.0,0.9,1.0,0.16,0.12,0.0,0.5,9.1,4
Meat spread or potted meat,11.94,38.0,0.2,7.66,7.584,2.565,5.977,17.34,0.79,8.0,59.0,110.0,1013.0,1.02,26.0,1.12,0.12,0.0,1.74,1.6,4
Meat spread or potted meat sandwich,30.45,19.0,1.2,8.54,4.172,2.22,3.415,10.51,2.07,17.0,86.0,113.0,747.0,0.95,13.0,0.56,0.106,0.0,0.98,0.9,4
Meat stick,1.1,70.0,0.2,13.4,6.48,1.59,5.82,14.6,1.38,11.0,103.0,114.0,267.0,1.9,21.0,0.29,0.08,2.4,0.28,0.5,7
Meat sticks,1.1,70.0,0.2,13.4,6.48,1.59,5.82,14.6,1.38,11.0,103.0,114.0,267.0,1.9,21.0,0.29,0.08,2.4,0.28,0.5,7
Meat substitute,61.87,0.0,9.0,11.28,2.326,3.011,1.035,7.04,4.03,152.0,296.0,368.0,282.0,2.41,0.0,0.0,0.315,0.0,1.4,8.6,10
Meat turnover,21.62,73.0,1.1,11.89,5.621,3.878,3.024,13.37,1.72,18.0,125.0,196.0,354.0,1.14,23.0,0.32,0.202,6.5,1.25,9.7,7
Meat with barbecue sauce,12.74,64.0,0.3,20.88,2.659,0.281,2.526,6.8,1.6,19.0,142.0,278.0,357.0,3.92,3.0,0.9,0.237,0.2,0.56,1.7,1
Meat with gravy,1.58,64.0,0.0,21.56,2.977,0.377,2.568,7.05,1.79,15.0,140.0,188.0,360.0,3.64,0.0,1.19,0.288,0.0,0.33,1.2,7
Meat with tomato-based sauce,1.58,63.0,0.4,21.72,2.687,0.292,2.391,6.36,2.05,18.0,143.0,264.0,355.0,3.69,6.0,1.19,0.309,2.0,0.73,1.9,1
Meatball,8.0,0.0,4.6,21.0,2.188,4.666,1.425,9.0,2.16,18.0,344.0,180.0,550.0,1.8,0.0,1.5,0.2,0.0,1.73,0.0,7
Meatball and spaghetti sauce submarine sandwich,26.01,15.0,2.1,9.77,3.573,1.125,3.124,8.45,2.32,29.0,97.0,275.0,437.0,1.19,15.0,0.55,0.132,0.4,0.79,6.6,1
Meatball soup,9.99,16.0,1.8,6.86,1.98,0.763,1.468,4.68,1.11,21.0,84.0,346.0,252.0,1.26,21.0,0.37,0.196,8.8,0.35,4.5,10
Meatballs,5.8950000000000005,54.5,0.5,13.435,4.3165,1.0765,3.4085,10.045,1.61,14.75,127.5,217.0,585.0,2.725,11.25,1.065,0.17325,0.875,0.4175,2.8000000000000003,13
Melba toast,76.6,0.0,6.3,12.1,0.782,1.282,0.445,3.2,3.7,59.0,196.0,202.0,598.0,2.01,0.0,0.0,0.098,0.0,0.43,0.9,13
Menudo soup,3.88,29.5,1.05,4.335,0.588,0.253,0.4365,1.505,0.6950000000000001,11.5,37.0,128.5,378.0,0.61,23.5,0.215,0.0804999999999999,5.15,0.63,3.05,13
Meringues,74.24,0.0,0.0,7.31,0.0,0.0,0.0,0.16,0.1,7.0,10.0,111.0,113.0,0.03,0.0,0.05,0.003,0.0,0.0,0.0,1
Mexican casserole made with ground beef,16.0,39.0,2.35,13.97,5.0115,3.283,4.766,14.89,1.7999999999999998,33.5,173.0,282.0,387.5,2.955,37.0,0.955,0.2204999999999999,1.9,1.875,5.050000000000001,1
Mexican chocolate,77.41,0.0,4.0,3.64,5.044,1.162,8.606,15.59,2.18,95.0,142.0,397.0,3.0,1.26,0.0,0.0,0.034,0.1,0.36,2.2,5
Mexican style chicken broth soup stock,7.37,2.0,1.5,2.34,0.559,0.37,0.285,1.31,0.46,12.0,38.0,202.0,259.0,0.22,36.0,0.0,0.117,13.0,0.23,25.2,1
Midnight sandwich,20.09,38.0,0.8,17.3,3.194,1.584,3.203,9.03,1.72,22.0,178.0,225.0,614.0,1.69,45.0,0.47,0.26,0.7,0.49,8.4,13
Milk,15.884193548387096,13.483870967741936,0.0,7.705161290322581,0.830516129032258,0.1044193548387096,1.8052580645161287,2.980322580645161,0.6425806451612902,32.354838709677416,217.1290322580645,376.8064516129032,126.48387096774194,1.3735483870967742,171.16129032258064,0.8667741935483871,0.148516129032258,3.396774193548387,0.47,0.2483870967741935,14
Milk 'n Cereal bar,72.05,6.0,0.4,6.47,1.186,0.239,9.114,10.98,5.99,21.0,155.0,254.0,319.0,0.84,188.0,2.0,0.819,15.4,0.42,2.5,7
Milk chocolate candy,58.1125,18.25,4.3,7.9675,8.89325,1.8245,16.32775,29.4525,2.055,71.0,217.25,420.0,71.5,1.885,53.5,0.675,0.05225,0.25,1.42,5.175,3
Milk dessert or milk candy,55.35,29.0,0.0,6.84,2.143,0.375,4.534,7.35,0.17,22.0,193.0,350.0,129.0,0.79,74.0,0.31,0.016,2.6,0.2,1.3,3
Milk shake,16.45375,20.25,0.7625000000000001,3.60625,1.48625,0.241375,3.346,5.515,0.38625,16.375,102.625,176.375,66.125,0.56125,79.125,0.35125,0.0572499999999999,0.175,0.17875,0.3375,14
Milk shake with malt,13.66,23.0,0.2,3.77,1.525,0.276,3.659,6.11,0.06,16.0,112.0,190.0,66.0,0.53,63.0,0.5,0.07,0.3,0.15,0.5,14
Millet,23.176666666666662,0.0,1.2666666666666666,3.44,0.5153333333333333,0.956,0.3776666666666666,2.0166666666666666,0.62,43.333333333333336,98.33333333333331,61.333333333333336,176.66666666666666,0.8933333333333334,14.333333333333334,0.0,0.171,0.0,0.3866666666666667,2.0666666666666664,7
Mimosa,7.14,0.0,0.2,0.38,0.011,0.015,0.007,0.06,0.2,11.0,23.0,126.0,3.0,0.09,1.0,0.0,0.063,17.3,0.1,0.2,5
Minestrone soup,7.753333333333333,1.3333333333333333,1.5333333333333332,2.4066666666666667,0.3223333333333333,0.3646666666666667,0.2006666666666666,0.9833333333333334,0.7266666666666667,12.0,35.333333333333336,172.66666666666666,245.33333333333331,0.3433333333333333,36.333333333333336,0.02,0.0523333333333333,3.0666666666666664,0.4233333333333333,8.7,1
Mint julep,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,3.0,1.0,4.0,0.05,0.0,0.0,0.001,0.0,0.0,0.0,6
Miso,25.37,0.0,5.4,12.79,1.118,2.884,1.025,6.01,2.49,48.0,159.0,210.0,3728.0,2.56,4.0,0.08,0.199,0.0,0.01,29.3,4
Miso sauce,13.99,0.0,1.2,3.43,10.766,22.734,5.631,41.0,0.67,2.0,41.0,152.0,1086.0,0.22,2.0,0.0,0.01,0.0,4.5,51.9,4
Mixed cereal,78.21,0.0,6.7,6.66,1.206,1.697,0.769,6.66,30.0,100.0,333.0,467.0,33.0,10.66,0.0,5.0,1.166,58.3,4.21,1.5,3
Mixed cereal with applesauce and bananas,18.58,0.0,1.0,0.71,0.122,0.172,0.081,0.51,6.81,7.0,29.0,111.0,5.0,1.01,0.0,0.51,0.101,15.9,0.68,0.3,5
Mixed cereal with bananas,77.1,0.0,7.8,10.7,1.223,1.734,0.846,4.6,47.5,90.0,367.0,668.0,0.0,1.4,6.0,0.24,0.408,3.6,0.51,3.5,3
Mixed fruit juice,12.2,0.0,0.25,0.15,0.005,0.034,0.0175,0.1,0.32,6.0,8.0,93.5,6.0,0.035,1.0,0.0,0.0465,42.4,0.025,0.5,0
Mixed fruit juice with lowfat yogurt,14.68,3.0,0.4,2.4,0.219,0.022,0.517,0.8,0.2,10.0,60.0,137.0,36.0,0.14,5.0,0.43,0.05,33.9,0.03,0.2,5
Mixed fruit tart filled with custard or cream cheese,20.7,47.0,1.4,3.54,3.248,0.868,3.811,8.72,0.66,12.0,73.0,157.0,116.0,0.38,73.0,0.16,0.065,18.0,0.61,6.7,14
Mixed fruit yogurt dessert,16.23,0.0,0.4,0.8,0.219,0.022,0.517,0.8,0.2,4.0,22.0,62.0,16.0,0.11,5.0,0.0,0.04,11.7,0.13,0.5,5
Mixed nuts,23.19125,0.0,7.325,17.955,28.396,14.1695,7.30975,53.30625,3.245,205.5,401.25,595.75,189.25,3.4025000000000003,0.875,0.0,0.334375,0.5750000000000001,8.1525,13.425,3
Mixed salad greens,2.93,0.0,1.4,1.61,0.008,0.109,0.032,0.22,1.3,28.0,32.0,270.0,36.0,0.26,310.0,0.0,0.107,11.0,0.64,193.4,12
Mixed seeds,21.73,0.0,10.0,21.96,11.062,29.627,6.05,49.61,4.87,234.0,1160.0,834.0,7.0,5.88,0.0,0.0,0.628,1.5,19.72,3.2,3
Mixed vegetable juice,6.12,0.0,1.2,0.82,0.02,0.075,0.034,0.16,0.33,12.0,33.0,276.0,73.0,0.16,489.0,0.0,0.146,5.8,0.72,22.4,2
Mixed vegetables,7.859999999999999,0.0,1.3333333333333333,1.42,0.0143333333333333,0.108,0.0453333333333333,0.27,0.4466666666666666,13.333333333333334,27.0,150.33333333333334,36.66666666666666,0.2566666666666666,309.3333333333333,0.0,0.095,3.2999999999999994,0.4466666666666667,9.7,2
Mock chicken legs,5.27,87.0,0.2,20.75,5.618,2.431,4.346,13.79,1.13,22.0,188.0,286.0,578.0,3.41,3.0,1.11,0.281,0.1,0.64,6.5,13
Mojito,2.45,0.0,0.2,0.09,0.007,0.004,0.002,0.03,0.11,2.0,3.0,19.0,15.0,0.1,7.0,0.0,0.006,2.4,0.06,6.3,10
Molasses,74.73,0.0,0.0,0.0,0.032,0.05,0.018,0.1,4.72,242.0,31.0,1464.0,37.0,0.29,0.0,0.0,0.67,0.0,0.0,0.0,5
Mole sauce,10.77,0.0,1.0,0.98,1.058,0.345,1.875,3.82,0.92,17.0,23.0,127.0,493.0,0.24,32.0,0.0,0.057,0.3,0.66,3.1,4
Moo Goo Gai Pan,4.69,17.0,1.2,7.15,0.845,0.813,0.394,2.43,0.48,11.0,78.0,197.0,106.0,0.47,10.0,0.04,0.242,6.5,0.65,16.7,10
Moo Shu pork,4.04,92.0,0.9,10.43,4.276,3.826,1.938,10.61,1.14,25.0,140.0,265.0,818.0,1.08,71.0,0.28,0.274,10.3,1.27,35.1,13
Moose,0.0,78.0,0.0,29.15,0.199,0.309,0.289,0.97,4.2,24.0,175.0,333.0,231.0,3.66,0.0,6.28,0.368,5.0,0.2,1.2,10
Mortadella,3.05,56.0,0.0,16.37,11.38,3.12,9.51,25.39,1.4,11.0,97.0,163.0,1246.0,2.1,0.0,1.48,0.13,0.0,0.22,1.6,4
Mousse,16.25,120.0,0.6,4.36,4.414,0.839,8.673,14.96,0.54,21.0,122.0,154.0,35.0,0.66,158.0,0.37,0.067,0.2,0.46,1.5,14
